"price","size_sqft","lot_sqft","bedrooms","bathrooms","year_built","year_renovated","renovated","condition","location_quality","dist_center_km","crime_rate","school_rating","has_pool","garage_cars","waterfront"
18389800,2588,3901,4,4,2001,NA,"No","Fair","Medium",16.93,42.8,6,"No",3,"No"
22831700,2363,4640,5,3.5,1997,NA,"No","Good","Medium",17.68,30.5,8,"Yes",3,"No"
4196200,1050,2000,2,2.5,1961,NA,"No","Poor","Medium",24.38,37,7,"No",0,"Yes"
124268900,3381,9221,5,4.5,1999,NA,"No","Fair","Premium",2.71,6.5,10,"Yes",3,"No"
14971300,1991,6869,3,1.5,1995,NA,"No","Fair","Premium",4.55,23.4,10,"No",1,"No"
7148800,600,2000,2,3.5,1948,NA,"No","Poor","Low",28.55,72.5,5,"No",0,"No"
12445100,1550,5591,2,2.5,1990,2017,"Yes","Excellent","Medium",15.66,29.3,5,"No",2,"No"
31060300,3067,4816,5,3.5,1997,NA,"No","Good","High",7.12,24.2,8,"Yes",4,"No"
4451700,2047,3305,4,3,1983,NA,"No","Fair","High",8.93,25.9,7,"No",0,"No"
13396500,1983,5946,2,1.5,2000,2020,"Yes","Excellent","Medium",12.8,52,7,"No",2,"No"
1640200,1349,4121,3,2.5,1970,NA,"No","Poor","Medium",15.82,60.4,9,"No",1,"No"
11064000,1951,5316,4,4.5,2005,2024,"Yes","Good","Medium",18.36,48.4,6,"No",2,"No"
2194300,1137,2293,1,1.5,2011,NA,"No","Fair","Medium",20.68,89.3,7,"No",0,"No"
84624300,2295,6670,5,4.5,2023,NA,"No","Fair","High",8.95,30.1,9,"Yes",3,"No"
6801500,2322,7632,3,2.5,1995,NA,"No","Good","High",6.88,44,8,"No",0,"No"
17261700,2926,4917,4,3,2023,2024,"Yes","Excellent","High",7.47,20.5,9,"No",1,"No"
20462700,3142,11163,6,4,1984,NA,"No","Fair","High",9.59,32.6,9,"No",2,"No"
48091500,2271,4938,5,3.5,2018,NA,"No","Good","High",9.15,22.8,8,"Yes",3,"No"
13079800,2902,5184,4,3,1995,NA,"No","Good","High",7.04,37.1,8,"Yes",4,"No"
67060100,1829,4665,3,3,1990,NA,"No","Good","Low",27.63,80.2,4,"Yes",4,"No"
2833300,1351,2122,3,2.5,1994,NA,"No","Fair","Medium",21.36,36.9,6,"No",1,"No"
3335500,1981,4121,2,1.5,1940,NA,"No","Poor","Low",25.63,71.7,5,"No",0,"No"
103685900,3084,4980,4,3.5,2001,2008,"Yes","Excellent","High",11.24,48,8,"Yes",3,"No"
11784900,2488,5696,3,3.5,1992,NA,"No","Good","High",11.76,20.6,7,"Yes",2,"No"
1923300,1582,2951,2,2,2002,NA,"No","Good","Medium",14.41,54.3,4,"No",0,"No"
